CÓDIGO DO PROCEDIMENTO NO SIGTAP;PROCEDIMENTO CIRÚRGICO;QUANTIDADE DE SOLICITAÇÕES NA FILA ATÉ DIA 31/12/22;Redução do Tamanho da Fila (%);Prazo para reduzir o % proposto (em meses);Qtde de cirurgias a serem feitas no prazo pactuado;SQ (CODIGO Interno;UF;STATUS
407040110;HERNIOPLASTIA RECIDIVANTE;2;1.0;2 meses;2;100070;ALAGOAS;APROVADO
409060100;HISTERECTOMIA (POR VIA VAGINAL);2;1.0;2 meses;2;100071;ALAGOAS;APROVADO
409040215;TRATAMENTO CIRURGICO DE HIDROCELE;1;1.0;2 meses;1;100072;ALAGOAS;APROVADO
404010520;SEPTOPLASTIA REPARADORA NÂO ESTÉTICA;1;1.0;2 meses;1;100073;ALAGOAS;APROVADO
403010012;CRANIOPLASTIA;1;1.0;2 meses;1;100074;ALAGOAS;APROVADO
409060046;CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO;1;1.0;2 meses;1;100075;ALAGOAS;APROVADO
408010207;TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ESTERNO-CLAVICULAR;1;1.0;2 meses;1;100076;ALAGOAS;APROVADO
409040070;EXERESE DE CISTO DE EPIDIDIMO;1;1.0;2 meses;1;100077;ALAGOAS;APROVADO
401020088;EXERESE DE CISTO SACRO-COCCIGEO;1;1.0;2 meses;1;100078;ALAGOAS;APROVADO
409070149;EXERESE DE CISTO VAGINAL;1;1.0;2 meses;1;100079;ALAGOAS;APROVADO
407020276;FISTULECTOMIA / FISTULOTOMIA ANAL;1;1.0;2 meses;1;100080;ALAGOAS;APROVADO
408040262;TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO ANTERO-POSTERIOR;1;1.0;2 meses;1;100081;ALAGOAS;APROVADO
405050216;RECOBRIMENTO CONJUNTIVAL;1;1.0;2 meses;1;100082;ALAGOAS;APROVADO
409030040;RESSECCAO ENDOSCOPICA DE PROSTATA;1;1.0;2 meses;1;100083;ALAGOAS;APROVADO
409070270;TRATAMENTO CIRURGICO DE INCONTINENCIA URINARIA POR VIA VAGINAL;1;1.0;2 meses;1;100084;ALAGOAS;APROVADO
409070246;TRATAMENTO CIRURGICO DE FISTULA URETRO-VAGINAL;1;1.0;2 meses;1;100085;ALAGOAS;APROVADO
409010464;TRATAMENTO CIRURGICO DE FISTULA VESICO-RETAL;1;1.0;2 meses;1;100086;ALAGOAS;APROVADO
409040142;ORQUIECTOMIA SUBCAPSULAR BILATERAL;1;1.0;2 meses;1;100087;ALAGOAS;APROVADO
409040169;ORQUIECTOMIA UNILATERAL;1;1.0;2 meses;1;100088;ALAGOAS;APROVADO
408010100;OSTECTOMIA DA CLAVÍCULA OU DA ESCÁPULA;1;1.0;2 meses;1;100089;ALAGOAS;APROVADO
405030193;PAN-FOTOCOAGULAÇÃO DE RETINA A LASER;1;1.0;2 meses;1;100090;ALAGOAS;APROVADO
404010466;PAROTIDECTOMIA PARCIAL OU SUBTOTAL;1;1.0;2 meses;1;100091;ALAGOAS;APROVADO
409010324;PIELOPLASTIA;1;1.0;2 meses;1;100092;ALAGOAS;APROVADO
409070254;TRATAMENTO CIRURGICO DE FISTULA VESICO-VAGINAL;1;1.0;2 meses;1;100093;ALAGOAS;APROVADO
404010024;AMIGDALECTOMIA;100;1.0;4 meses;100;100094;ALAGOAS;APROVADO
409060127;HISTERECTOMIA SUBTOTAL;35;1.0;3 meses;35;100095;ALAGOAS;APROVADO
401020045;EXCISAO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR );6;0.5;8;3;100001;AMAPA;APROVADO
401020053;EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO;4;0.5;8;2;100002;AMAPA;APROVADO
401020061;EXERESE DE CISTO BRANQUIAL;3;0.5;8;2;100003;AMAPA;APROVADO
401020088;EXERESE DE CISTO SACRO-COCCIGEO;2;0.5;8;1;100004;AMAPA;APROVADO
401020096;EXERESE DE CISTO TIREOGLOSSO;10;0.5;8;5;100005;AMAPA;APROVADO
403010101;DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE;1;1.0;8;1;100006;AMAPA;APROVADO
403020050;MICRONEUROLISE DE NERVO PERIFERICO;17;0.5;8;9;100007;AMAPA;APROVADO
403020077;NEUROLISE NAO FUNCIONAL DE NERVOS PERIFERICOS;13;0.5;8;7;100008;AMAPA;APROVADO
403020123;TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO;6;0.5;8;3;100009;AMAPA;APROVADO
403020131;TRATAMENTO MICROCIRURGICO DE TUMOR DE NERVO PERIFERICO / NEUROMA;2;0.5;8;1;100010;AMAPA;APROVADO
403030030;CRANIOTOMIA PARA RETIRADA DE TUMOR CEREBRAL INCLUSIVO DA FOSSA POSTERIOR;1;1.0;8;1;100011;AMAPA;APROVADO
403030048;CRANIOTOMIA PARA RETIRADA DE TUMOR INTRACRANIANO;1;1.0;8;1;100012;AMAPA;APROVADO
403080045;MIECTOMIA SUPERSELETIVA;1;1.0;8;1;100013;AMAPA;APROVADO
404010318;RETIRADA DE CORPO ESTRANHO DE OUVIDO / FARINGE / LARINGE / NARIZ;1;1.0;8;1;100014;AMAPA;APROVADO
404010466;PAROTIDECTOMIA PARCIAL OU SUBTOTAL;1;1.0;8;1;100015;AMAPA;APROVADO
404020704;OSTEOSSÍNTESE DA FRATURA DO OSSO ZIGOMÁTICO;1;1.0;8;1;100016;AMAPA;APROVADO
404020780;RECONSTRUÇÃO TOTAL DE MANDÍBULA/MAXILA;1;1.0;8;1;100017;AMAPA;APROVADO
405040067;ENUCLEACAO DE GLOBO OCULAR;1;1.0;8;1;100018;AMAPA;APROVADO
406020248;LINFADENECTOMIA RADICAL CERVICAL UNILATERAL;1;1.0;8;1;100019;AMAPA;APROVADO
406020329;PONTE AXILO-FEMURAL;2;0.5;8;1;100020;AMAPA;APROVADO
407020071;COLECTOMIA TOTAL;7;0.5;8;4;100021;AMAPA;APROVADO
407020225;EXCISAO DE LESAO / TUMOR ANU-RETAL;2;0.5;8;1;100022;AMAPA;APROVADO
407020241;FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO);1;1.0;8;1;100023;AMAPA;APROVADO
407020284;HEMORROIDECTOMIA;6;0.5;8;3;100024;AMAPA;APROVADO
407020292;HERNIORRAFIA C/ RESSECCAO INTESTINAL (HERNIA ESTRANGULADA);48;0.5;8;24;100025;AMAPA;APROVADO
407020411;RETOSSIGMOIDECTOMIA ABDOMINO-PERINEAL;2;0.5;8;1;100026;AMAPA;APROVADO
407020420;TRATAMENTO CIRURGICO DE ANOMALIAS CONGENITAS DO ANUS E RETO;3;0.5;8;2;100027;AMAPA;APROVADO
407020470;TRATAMENTO CIRURGICO DE PROLAPSO ANAL;1;1.0;8;1;100028;AMAPA;APROVADO
407030026;COLECISTECTOMIA;119;0.5;8;60;100029;AMAPA;APROVADO
407030034;COLECISTECTOMIA VIDEOLAPAROSCOPICA;4;0.5;8;2;100030;AMAPA;APROVADO
407030069;COLEDOCOTOMIA C/ OU S/ COLECISTECTOMIA;1;1.0;8;1;100031;AMAPA;APROVADO
407040048;HERNIOPLASTIA DIAFRAGMATICA (VIA ABDOMINAL);2;0.5;8;1;100032;AMAPA;APROVADO
407040064;HERNIOPLASTIA EPIGASTRICA;32;0.5;8;16;100033;AMAPA;APROVADO
407040080;HERNIOPLASTIA INCISIONAL;10;0.5;8;5;100034;AMAPA;APROVADO
407040099;HERNIOPLASTIA INGUINAL (BILATERAL);10;0.5;8;5;100035;AMAPA;APROVADO
407040102;HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL);69;0.5;8;35;100036;AMAPA;APROVADO
407040129;HERNIOPLASTIA UMBILICAL;27;0.5;8;14;100037;AMAPA;APROVADO
407040137;HERNIORRAFIA INGUINAL VIDEOLAPAROSCOPICA;1;1.0;8;1;100038;AMAPA;APROVADO
407040153;HERNIORRAFIA UMBILICAL VIDEOLAPAROSCOPICA;28;0.5;8;14;100039;AMAPA;APROVADO
407040161;LAPAROTOMIA EXPLORADORA;11;0.5;8;6;100040;AMAPA;APROVADO
407040170;LAPAROTOMIA VIDEOLAPAROSCOPICA PARA DRENAGEM E/OU BIOPSIA;1;1.0;8;1;100041;AMAPA;APROVADO
408010118;OSTEOTOMIA DA CLAVÍCULA OU DA ESCÁPULA;2;0.5;8;1;100042;AMAPA;APROVADO
408010142;REPARO DE ROTURA DO MANGUITO ROTADOR (INCLUI PROCEDIMENTOS DESCOMPRESSIVOS);20;0.5;8;10;100043;AMAPA;APROVADO
408010185;TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR;11;0.5;8;6;100044;AMAPA;APROVADO
408010223;TRATAMENTO CIRURGICO DE RETARDO DE CONSOLIDACAO DA PSEUDARTROSE DE CLAVICULA / ESCAPULA;7;0.5;8;4;100045;AMAPA;APROVADO
408020075;ARTROPLASTIA TOTAL DE COTOVELO;1;1.0;8;1;100046;AMAPA;APROVADO
408020130;RECONSTRUÇÃO CAPSULO-LIGAMENTAR DE COTOVELO PUNHO;1;1.0;8;1;100047;AMAPA;APROVADO
408020148;RECONSTRUÇÃO DE POLIA TENDINOSA DOS DEDOS DA MÃO;2;0.5;8;1;100048;AMAPA;APROVADO
408020598;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE NA REGIÃO METAFISE-EPIFISÁRIA DISTAL DO RÁDIO E ULNA;1;1.0;8;1;100049;AMAPA;APROVADO
408020628;TRATAMENTO CIRÚRGICO DE SINDACTILIA DA MÃO (POR ESPACO INTERDIGITAL);6;0.5;8;3;100050;AMAPA;APROVADO
408030070;ARTRODESE CERVICAL ANTERIOR DOIS NÍVEIS;3;0.5;8;2;100051;AMAPA;APROVADO
408030194;ARTRODESE OCCIPTO-CERVICAL (C4)POSTERIOR;1;1.0;8;1;100052;AMAPA;APROVADO
408030291;ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, DOIS NÍVEIS,;1;1.0;8;1;100053;AMAPA;APROVADO
408030305;ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, QUATRO NÍVEIS,;1;1.0;8;1;100054;AMAPA;APROVADO
408040017;ARTRODESE COXOFEMORAL;2;0.5;8;1;100055;AMAPA;APROVADO
408040041;ARTROPLASTIA DE QUADRIL (NÃO CONVENCIONAL);4;0.5;8;2;100056;AMAPA;APROVADO
408040050;ARTROPLASTIA PARCIAL DE QUADRIL;3;0.5;8;2;100057;AMAPA;APROVADO
408040068;ARTROPLASTIA TOTAL DE CONVERSÃO DO QUADRIL;4;0.5;8;2;100058;AMAPA;APROVADO
408040076;ARTROPLASTIA DE REVISÃO OU RECONSTRUÇÃO DO QUADRIL;1;1.0;8;1;100059;AMAPA;APROVADO
408040092;ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA;33;0.5;8;17;100060;AMAPA;APROVADO
408040173;REDUÇÃO INCRUENTA C/ MANIPULAÇÃO DE LUXAÇÃO ESPONTANEA / PROGRESSIVA DO QUADRIL COM APLICAÇÃO DE DISPOSITIVOS DE CONTENÇÃO;1;1.0;8;1;100061;AMAPA;APROVADO
408050039;ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO INFERIOR;3;0.5;8;2;100062;AMAPA;APROVADO
408050047;ARTROPLASTIA DE JOELHO (NAO CONVENCIONAL);14;0.5;8;7;100063;AMAPA;APROVADO
408050055;ARTROPLASTIA TOTAL DE JOELHO - REVISAO / RECONSTRUCAO;30;0.5;8;15;100064;AMAPA;APROVADO
408050063;ARTROPLASTIA TOTAL PRIMARIA DO JOELHO;27;0.5;8;14;100065;AMAPA;APROVADO
408050071;ARTROPLASTIA UNICOMPARTIMENTAL PRIMARIA DO JOELHO;1;1.0;8;1;100066;AMAPA;APROVADO
408050136;RECONSTRUCAO DE TENDAO PATELAR / TENDAO QUADRICIPITAL;3;0.5;8;2;100067;AMAPA;APROVADO
408050144;RECONSTRUCAO LIGAMENTAR DO TORNOZELO;3;0.5;8;2;100068;AMAPA;APROVADO
408050152;RECONSTRUCAO LIGAMENTAR EXTRA-ARTICULAR DO JOELHO;1;1.0;8;1;100069;AMAPA;APROVADO
408050160;RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO ANTERIOR);71;0.5;8;36;100070;AMAPA;APROVADO
408050179;RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO POSTERIOR C/ OU S/ ANTERIOR);20;0.5;8;10;100071;AMAPA;APROVADO
408050349;REVISAO CIRURGICA DO PE TORTO CONGENITO;2;0.5;8;1;100072;AMAPA;APROVADO
408050373;TENOSINOVECTOMIA EM MEMBRO INFERIOR;7;0.5;8;4;100073;AMAPA;APROVADO
408050640;TRATAMENTO CIRÚRGICO DE GIGANTISMO DO PÉ;1;1.0;8;1;100074;AMAPA;APROVADO
408050659;TRATAMENTO CIRÚRGICO DE HALUX VALGUS C/ OSTEOTOMIA DO PRIMEIRO OSSO METATARSIANO;7;0.5;8;4;100075;AMAPA;APROVADO
408050730;TRATAMENTO CIRÚRGICO DE PÉ CAVO;2;0.5;8;1;100076;AMAPA;APROVADO
408050748;TRATAMENTO CIRÚRGICO DE PÉ PLANO VALGO;18;0.5;8;9;100077;AMAPA;APROVADO
408050764;TRATAMENTO CIRÚRGICO DE PÉ TORTO CONGÊNITO;1;1.0;8;1;100078;AMAPA;APROVADO
408050799;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA DIÁFISE DO FÊMUR;14;0.5;8;7;100079;AMAPA;APROVADO
408050845;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO AO NÍVEL DO JOELHO;4;0.5;8;2;100080;AMAPA;APROVADO
408050861;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA DIÁFISE TIBIAL;30;0.5;8;15;100081;AMAPA;APROVADO
408050870;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO/ PERDA ÓSSEA DA METÁFISE TIBIAL;2;0.5;8;1;100082;AMAPA;APROVADO
408050888;TRATAMENTO CIRÚRGICO DE ROTURA DE MENISCO COM SUTURA MENISCAL UNI / BICOMPATIMENTAL;2;0.5;8;1;100083;AMAPA;APROVADO
408060018;ALONGAMENTO / ENCURTAMENTO MIOTENDINOSO;5;0.5;8;3;100084;AMAPA;APROVADO
408060050;ARTRODESE DE PEQUENAS ARTICULAÇÕES;24;0.5;8;12;100085;AMAPA;APROVADO
408060069;ARTROPLASTIA DE RESSECÇÃO DE MÉDIA / GRANDE ARTICULAÇÃO;1;1.0;8;1;100086;AMAPA;APROVADO
408060077;ARTROPLASTIA DE RESSECÇÃO DE PEQUENAS ARTICULAÇÕES;2;0.5;8;1;100087;AMAPA;APROVADO
408060085;BURSECTOMIA;1;1.0;8;1;100088;AMAPA;APROVADO
408060140;FASCIECTOMIA;1;1.0;8;1;100089;AMAPA;APROVADO
408060182;OSTEOTOMIA DE OSSOS DA MÃO E/OU DO PÉ;25;0.5;8;13;100090;AMAPA;APROVADO
408060190;OSTEOTOMIA DE OSSOS LONGOS EXCETO DA MÃO E DO PÉ;69;0.5;8;35;100091;AMAPA;APROVADO
408060212;RESSECÇÃO DE CISTO SINOVIAL;17;0.5;8;9;100092;AMAPA;APROVADO
408060247;RESSECÇÃO DE TUMOR E RECONSTRUÇÃO C/ RETALHO NÃO MICROCIRÚRGICO (EXCETO MÃO E PÉ);10;0.5;8;5;100093;AMAPA;APROVADO
408060280;RESSECÇÃO DE TUMOR ÓSSEO E RECONSTRUÇÃO C/ RETALHO NÃO MICROCIRÚRGICO (APENAS MÃO E PÉ);15;0.5;8;8;100094;AMAPA;APROVADO
408060310;RESSECÇÃO SIMPLES DE TUMOR ÓSSEO / DE PARTES MOLES;10;0.5;8;5;100095;AMAPA;APROVADO
408060328;RETIRADA DE CORPO ESTRANHO INTRA-ARTICULAR;2;0.5;8;1;100096;AMAPA;APROVADO
408060352;RETIRADA DE FIO OU PINO INTRA-ÓSSEO;1;1.0;8;1;100097;AMAPA;APROVADO
408060360;RETIRADA DE FIXADOR EXTERNO;11;0.5;8;6;100098;AMAPA;APROVADO
408060379;RETIRADA DE PLACA E/OU PARAFUSOS;33;0.5;8;17;100099;AMAPA;APROVADO
408060441;TENÓLISE;2;0.5;8;1;100100;AMAPA;APROVADO
408060476;TENOPLASTIA OU ENXERTO DE TENDÃO UNICO;16;0.5;8;8;100101;AMAPA;APROVADO
408060484;TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO;11;0.5;8;6;100102;AMAPA;APROVADO
408060549;TRANSPOSIÇÃO / TRANSFERÊNCIA MIOTENDINOSA ÚNICA;1;1.0;8;1;100103;AMAPA;APROVADO
408060646;TRATAMENTO CIRÚRGICO DE MÃO OU PÉ EM FENDA / DEDO BÍFIDO / MACRODACTILIA / POLIDACTILIA;5;0.5;8;3;100104;AMAPA;APROVADO
409010065;CISTOLITOTOMIA E/OU RETIRADA DE CORPO ESTRANHO DA BEXIGA;3;0.5;8;2;100105;AMAPA;APROVADO
409010146;EXTRACAO ENDOSCOPICA DE CALCULO EM PELVE RENAL;1;1.0;8;1;100106;AMAPA;APROVADO
409010200;NEFRECTOMIA PARCIAL;3;0.5;8;2;100107;AMAPA;APROVADO
409010219;NEFRECTOMIA TOTAL;1;1.0;8;1;100108;AMAPA;APROVADO
409010227;NEFROLITOTOMIA;1;1.0;8;1;100109;AMAPA;APROVADO
409010324;PIELOPLASTIA;4;0.5;8;2;100110;AMAPA;APROVADO
409010332;PIELOSTOMIA;1;1.0;8;1;100111;AMAPA;APROVADO
409010413;TRATAMENTO CIRURGICO DE BEXIGA NEUROGENICA;1;1.0;8;1;100112;AMAPA;APROVADO
409010502;TRATAMENTO CIRURGICO DE REFLUXO VESICO-URETERAL;1;1.0;8;1;100113;AMAPA;APROVADO
409010510;TRATAMENTO CIRURGICO DE URETEROCELE;3;0.5;8;2;100114;AMAPA;APROVADO
409010561;URETEROLITOTOMIA;1;1.0;8;1;100115;AMAPA;APROVADO
409020133;URETROPLASTIA AUTOGENA;2;0.5;8;1;100116;AMAPA;APROVADO
409030023;PROSTATECTOMIA SUPRAPÚBICA;11;0.5;8;6;100117;AMAPA;APROVADO
409040070;EXERESE DE CISTO DE EPIDIDIMO;3;0.5;8;2;100118;AMAPA;APROVADO
409040126;ORQUIDOPEXIA BILATERAL;4;0.5;8;2;100119;AMAPA;APROVADO
409040134;ORQUIDOPEXIA UNILATERAL;15;0.5;8;8;100120;AMAPA;APROVADO
409040169;ORQUIECTOMIA UNILATERAL;2;0.5;8;1;100121;AMAPA;APROVADO
409040185;REPARACAO E OPERACAO PLASTICA DO TESTICULO;1;1.0;8;1;100122;AMAPA;APROVADO
409040215;TRATAMENTO CIRURGICO DE HIDROCELE;7;0.5;8;4;100123;AMAPA;APROVADO
409040231;TRATAMENTO CIRURGICO DE VARICOCELE;3;0.5;8;2;100124;AMAPA;APROVADO
409040240;VASECTOMIA;4;0.5;8;2;100125;AMAPA;APROVADO
409050032;CORRECAO DE HIPOSPADIA (1O TEMPO);14;0.5;8;7;100126;AMAPA;APROVADO
409050040;CORRECAO DE HIPOSPADIA (2O TEMPO);10;0.5;8;5;100127;AMAPA;APROVADO
409050075;PLASTICA TOTAL DO PENIS;1;1.0;8;1;100128;AMAPA;APROVADO
409050083;POSTECTOMIA;75;0.5;8;38;100129;AMAPA;APROVADO
409060119;HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL);1;1.0;8;1;100130;AMAPA;APROVADO
409060135;HISTERECTOMIA TOTAL;32;0.5;8;16;100131;AMAPA;APROVADO
409060143;HISTERECTOMIA TOTAL AMPLIADA (WERTHEIN-MEIGS);1;1.0;8;1;100132;AMAPA;APROVADO
409060186;LAQUEADURA TUBARIA;5014;0.5;8;2507;100133;AMAPA;APROVADO
409060194;MIOMECTOMIA;1;1.0;8;1;100134;AMAPA;APROVADO
409060208;MIOMECTOMIA VIDEOLAPAROSCOPICA;1;1.0;8;1;100135;AMAPA;APROVADO
409060216;OOFORECTOMIA / OOFOROPLASTIA;2;0.5;8;1;100136;AMAPA;APROVADO
409060224;RESSECCAO DE VARIZES PELVICAS;1;1.0;8;1;100137;AMAPA;APROVADO
409060232;SALPINGECTOMIA UNI / BILATERAL;2;0.5;8;1;100138;AMAPA;APROVADO
409060240;SALPINGECTOMIA VIDEOLAPAROSCOPICA;2;0.5;8;1;100139;AMAPA;APROVADO
409060259;SALPINGOPLASTIA;1;1.0;8;1;100140;AMAPA;APROVADO
409070050;COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR;1;1.0;8;1;100141;AMAPA;APROVADO
410010073;PLASTICA MAMARIA FEMININA NAO ESTETICA;1;1.0;8;1;100142;AMAPA;APROVADO
410010111;SETORECTOMIA / QUADRANTECTOMIA;1;1.0;8;1;100143;AMAPA;APROVADO
412010100;TRAQUEOPLASTIA E/OU LARINGOTRAQUEOPLASTIA;4;0.5;8;2;100144;AMAPA;APROVADO
413040267;RECONSTRUÇÃO POR MICROCIRURGIA QUALQUER PARTE;1;1.0;8;1;100145;AMAPA;APROVADO
416020151;LINFADENECTOMIA RADICAL CERVICAL UNILATERAL EM ONCOLOGIA;1;1.0;8;1;100146;AMAPA;APROVADO
416090133;RESSECÇÃO DE TUMOR DE PARTES MOLES EM ONCOLOGIA;19;0.5;8;10;100147;AMAPA;APROVADO
407030026;COLECISTECTOMIA;5461;0.35;6;1912;100001;AMAZONAS;APROVADO
407020292;HERNIORRAFIA C/ RESSECCAO INTESTINAL (HERNIA ESTRANGULADA);911;0.4;6;365;100002;AMAZONAS;APROVADO
406020426;REVASCULARIZAÇÃO DO MEMBRO SUPERIOR;917;0.3;;276;100003;AMAZONAS;APROVADO
401020096;EXERESE DE CISTO TIREOGLOSSO;386;0.3;6;116;100004;AMAZONAS;APROVADO
401020088;EXERESE DE CISTO SACRO-COCCIGEO;482;0.3;;145;100005;AMAZONAS;APROVADO
401020070;EXERESE DE CISTO DERMOIDE;617;0.3;6;186;100006;AMAZONAS;APROVADO
401020061;EXERESE DE CISTO BRANQUIAL;444;0.3;6;134;100007;AMAZONAS;APROVADO
409060135;HISTERECTOMIA TOTAL;956;0.3;6;287;100008;AMAZONAS;APROVADO
409070149;EXERESE DE CISTO VAGINAL;201;0.3;6;61;100009;AMAZONAS;APROVADO
409070270;TRATAMENTO CIRURGICO DE INCONTINENCIA URINARIA POR VIA VAGINAL;277;0.3;6;84;100010;AMAZONAS;APROVADO
409060208;MIOMECTOMIA VIDEOLAPAROSCOPICA;478;0.3;6;144;100011;AMAZONAS;APROVADO
405050100;FACECTOMIA S/ IMPLANTE DE LENTE INTRA-OCULAR;2670;0.3;6;801;100012;AMAZONAS;APROVADO
401020045;EXCISAO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR );166;1.0;8;166;100001;BAHIA;APROVADO
401020053;EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO;50;1.0;8;50;100002;BAHIA;APROVADO
401020088;EXERESE DE CISTO SACRO-COCCIGEO;597;0.85;8;508;100003;BAHIA;APROVADO
402010035;TIREOIDECTOMIA PARCIAL;22;0.0;8;0;100004;BAHIA;APROVADO
402010043;TIREOIDECTOMIA TOTAL;281;0.95;8;267;100005;BAHIA;APROVADO
402010051;TIREOIDECTOMIA TOTAL C/ ESVAZIAMENTO GANGLIONAR;2;1.0;8;2;100006;BAHIA;APROVADO
403020123;TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO;30;1.0;8;30;100007;BAHIA;APROVADO
404010016;ADENOIDECTOMIA;239;0.85;8;204;100008;BAHIA;APROVADO
404010024;AMIGDALECTOMIA;397;0.74;8;294;100009;BAHIA;APROVADO
404010032;AMIGDALECTOMIA C/ ADENOIDECTOMIA;1204;0.71;8;855;100010;BAHIA;APROVADO
404010350;TIMPANOPLASTIA (UNI / BILATERAL);20;1.0;8;20;100011;BAHIA;APROVADO
404010415;TURBINECTOMIA;5;0.0;8;0;100012;BAHIA;APROVADO
404010482;SEPTOPLASTIA PARA CORREÇÃO DE DESVIO;28;1.0;8;28;100013;BAHIA;APROVADO
405010010;CORRECAO CIRURGICA DE ENTROPIO E ECTROPIO;3;0.0;8;0;100014;BAHIA;APROVADO
405010079;EXERESE DE CALAZIO E OUTRAS PEQUENAS LESOES DA PALPEBRA E SUPERCILIOS;673;0.72;8;485;100015;BAHIA;APROVADO
405010125;RECONSTITUICAO PARCIAL DE PALPEBRA COM TARSORRAFIA;2;0.0;8;0;100016;BAHIA;APROVADO
405020015;CORRECAO CIRURGICA DE ESTRABISMO (ACIMA DE 2 MUSCULOS);67;0.75;8;51;100017;BAHIA;APROVADO
405020023;CORRECAO CIRURGICA DO ESTRABISMO (ATE 2 MUSCULOS);22;0.0;8;0;100018;BAHIA;APROVADO
405030045;FOTOCOAGULACAO A LASER;536;0.6;8;322;100019;BAHIA;APROVADO
405030134;VITRECTOMIA ANTERIOR;171;0.0;8;0;100020;BAHIA;APROVADO
405030142;VITRECTOMIA POSTERIOR;91;0.0;8;0;100021;BAHIA;APROVADO
405030169;VITRECTOMIA POSTERIOR COM INFUSÃO DE PERFLUOCARBONO E ENDOLASER;29;0.75;8;22;100022;BAHIA;APROVADO
405030177;VITRECTOMIA POSTERIOR COM INFUSÃO DE PERFLUOCARBONO/ÓLEO DE SILICONE/ENDOLASER;155;0.73;8;114;100023;BAHIA;APROVADO
405030193;PAN-FOTOCOAGULAÇÃO DE RETINA A LASER;139;0.75;8;105;100024;BAHIA;APROVADO
405040202;TRATAMENTO DE PTOSE PALPEBRAL;16;0.0;8;0;100025;BAHIA;APROVADO
405050011;CAPSULECTOMIA POSTERIOR CIRURGICA;273;0.1;8;28;100026;BAHIA;APROVADO
405050020;CAPSULOTOMIA A YAG LASER;3489;0.75;8;2617;100027;BAHIA;APROVADO
405050097;FACECTOMIA C/ IMPLANTE DE LENTE INTRA-OCULAR;218;0.0;8;0;100028;BAHIA;APROVADO
405050100;FACECTOMIA S/ IMPLANTE DE LENTE INTRA-OCULAR;22;0.0;8;0;100029;BAHIA;APROVADO
405050135;IMPLANTE DE PROTESE ANTI-GLAUCOMATOSA;10;0.0;8;0;100030;BAHIA;APROVADO
405050151;IMPLANTE SECUNDARIO DE LENTE INTRA-OCULAR - LIO;29;0.0;8;0;100031;BAHIA;APROVADO
405050194;IRIDOTOMIA A LASER;178;0.2;8;36;100032;BAHIA;APROVADO
405050216;RECOBRIMENTO CONJUNTIVAL;23;0.0;8;0;100033;BAHIA;APROVADO
405050321;TRABECULECTOMIA;30;0.0;8;0;100034;BAHIA;APROVADO
405050356;TRATAMENTO CIRURGICO DE GLAUCOMA CONGENITO;118;0.0;8;0;100035;BAHIA;APROVADO
405050372;FACOEMULSIFICACAO C/ IMPLANTE DE LENTE INTRA-OCULAR DOBRAVEL;29803;0.69;8;20565;100036;BAHIA;APROVADO
406020566;TRATAMENTO CIRURGICO DE VARIZES (BILATERAL);2176;0.1;8;218;100037;BAHIA;APROVADO
406020574;TRATAMENTO CIRÚRGICO DE VARIZES (UNILATERAL);3052;0.4;8;1221;100038;BAHIA;APROVADO
